std Years = 1981-2010
DOY,   Average Extent,   Std Deviation,      10th,      25th,      50th,      75th,      90th
086,            4.884,           0.500,     4.303,     4.459,     4.912,     5.163,     5.471
087,            4.956,           0.497,     4.375,     4.562,     4.970,     5.223,     5.564
088,            5.047,           0.505,     4.454,     4.652,     5.035,     5.337,     5.712
089,            5.139,           0.501,     4.576,     4.813,     5.108,     5.455,     5.844
090,            5.219,           0.505,     4.644,     4.859,     5.179,     5.537,     5.926
091,            5.312,           0.502,     4.765,     4.903,     5.253,     5.613,     6.008
092,            5.405,           0.513,     4.878,     4.959,     5.334,     5.694,     6.078
093,            5.508,           0.521,     4.970,     5.101,     5.454,     5.816,     6.148
094,            5.607,           0.527,     5.062,     5.187,     5.541,     5.949,     6.209
095,            5.708,           0.523,     5.130,     5.296,     5.617,     6.050,     6.258
096,            5.806,           0.517,     5.201,     5.425,     5.678,     6.137,     6.364
097,            5.908,           0.520,     5.280,     5.537,     5.795,     6.217,     6.489
098,            6.018,           0.519,     5.421,     5.651,     5.919,     6.317,     6.633
099,            6.125,           0.525,     5.511,     5.755,     6.057,     6.495,     6.705
100,            6.218,           0.525,     5.613,     5.820,     6.198,     6.568,     6.782
101,            6.329,           0.534,     5.726,     5.912,     6.328,     6.662,     6.848
102,            6.434,           0.537,     5.811,     6.060,     6.418,     6.741,     6.932
103,            6.549,           0.552,     5.924,     6.155,     6.549,     6.898,     7.035
104,            6.656,           0.553,     5.991,     6.221,     6.680,     6.992,     7.126
105,            6.757,           0.545,     6.135,     6.326,     6.765,     7.065,     7.211
106,            6.862,           0.546,     6.266,     6.423,     6.887,     7.159,     7.328
107,            6.977,           0.535,     6.406,     6.560,     7.000,     7.245,     7.444
108,            7.089,           0.532,     6.531,     6.692,     7.090,     7.350,     7.570
109,            7.194,           0.530,     6.619,     6.835,     7.184,     7.479,     7.650
110,            7.303,           0.535,     6.755,     6.917,     7.278,     7.616,     7.755
111,            7.414,           0.547,     6.891,     7.062,     7.364,     7.729,     7.928
112,            7.516,           0.545,     7.000,     7.151,     7.456,     7.810,     8.029
113,            7.624,           0.538,     7.091,     7.259,     7.570,     7.905,     8.140
114,            7.733,           0.531,     7.148,     7.363,     7.715,     8.049,     8.190
115,            7.840,           0.533,     7.297,     7.464,     7.843,     8.095,     8.322
116,            7.947,           0.530,     7.422,     7.575,     7.952,     8.209,     8.441
117,            8.050,           0.517,     7.489,     7.686,     8.067,     8.310,     8.589
118,            8.165,           0.513,     7.548,     7.825,     8.157,     8.448,     8.702
119,            8.280,           0.507,     7.607,     7.936,     8.271,     8.569,     8.809
120,            8.387,           0.493,     7.737,     8.036,     8.385,     8.628,     8.939
121,            8.497,           0.493,     7.860,     8.142,     8.563,     8.752,     9.048
122,            8.604,           0.505,     7.978,     8.250,     8.661,     8.877,     9.199
123,            8.710,           0.501,     8.106,     8.362,     8.740,     8.975,     9.318
124,            8.825,           0.504,     8.180,     8.509,     8.889,     9.106,     9.456
125,            8.940,           0.504,     8.252,     8.616,     9.008,     9.226,     9.633
126,            9.053,           0.517,     8.351,     8.700,     9.116,     9.375,     9.751
127,            9.161,           0.520,     8.465,     8.794,     9.222,     9.498,     9.872
128,            9.280,           0.516,     8.613,     8.866,     9.365,     9.599,    10.016
129,            9.392,           0.520,     8.731,     8.934,     9.447,     9.686,    10.154
130,            9.487,           0.532,     8.831,     8.990,     9.575,     9.801,    10.264
131,            9.588,           0.534,     8.934,     9.125,     9.694,     9.904,    10.291
132,            9.705,           0.527,     9.043,     9.233,     9.804,    10.017,    10.337
133,            9.811,           0.520,     9.120,     9.344,     9.947,    10.118,    10.502
